證期會代碼,公司簡稱,分類代碼,分類名稱
06195P,GY凱基,0999P,認售權證
06196P,國票18,0999P,認售權證
06197P,ER元富,0999P,認售權證
06198P,ES元富,0999P,認售權證
06199P,12元大,0999P,認售權證
06200P,KB兆豐,0999P,認售權證
06201P,KK兆豐,0999P,認售權證
06202P,永昌LJ,0999P,認售權證
06203P,5U群益,0999P,認售權證
06204P,永豐KQ,0999P,認售權證
06205P,永豐KR,0999P,認售權證
06206P,ET元富,0999P,認售權證
06207P,HA凱基,0999P,認售權證
062088,國泰BB,0999,認購權證
06208P,HE凱基,0999P,認售權證
06209P,日盛XN,0999P,認售權證
06210P,KP兆豐,0999P,認售權證
06211P,BR中信,0999P,認售權證
06212P,HG凱基,0999P,認售權證
06213P,HP凱基,0999P,認售權證
06214P,HS凱基,0999P,認售權證
062156,元大4L,0999,認購權證
06215P,康和MC,0999P,認售權證
06216P,EU元富,0999P,認售權證
06217P,EV元富,0999P,認售權證
06218P,EW元富,0999P,認售權證
062190,中信MX,0999,認購權證
06219P,LQ富邦,0999P,認售權證
06220P,5Z群益,0999P,認售權證
06221P,6A群益,0999P,認售權證
06222P,6B群益,0999P,認售權證
06223P,永豐LE,0999P,認售權證
062244,元大4Q,0999,認購權證
06224P,BU中信,0999P,認售權證
06225P,BV中信,0999P,認售權證
06226P,DM亞東,0999P,認售權證
06227P,DN亞東,0999P,認售權證
06228P,LY富邦,0999P,認售權證
062299,中信NF,0999,認購權證
06229P,LZ富邦,0999P,認售權證
06230P,MA富邦,0999P,認售權證
062319,兆豐17,0999,認購權證
06231P,27元大,0999P,認售權證
06232P,28元大,0999P,認售權證
06233P,29元大,0999P,認售權證
06234P,30元大,0999P,認售權證
06235P,BY中信,0999P,認售權證
06236P,BZ中信,0999P,認售權證
06237P,MD富邦,0999P,認售權證
06238P,ME富邦,0999P,認售權證
06239P,MF富邦,0999P,認售權證
06240P,40元大,0999P,認售權證
06241P,工銀A1,0999P,認售權證
06242P,工銀A2,0999P,認售權證
06243P,HY凱基,0999P,認售權證
062448,大華CG,0999,認購權證
06244P,HZ凱基,0999P,認售權證
06245P,JA凱基,0999P,認售權證
06246P,JB凱基,0999P,認售權證
06247P,JC凱基,0999P,認售權證
062485,中信NS,0999,認購權證
06248P,JD凱基,0999P,認售權證
06249P,JE凱基,0999P,認售權證
06250P,KT兆豐,0999P,認售權證
06251P,康和MI,0999P,認售權證
06252P,統一73,0999P,認售權證
06253P,FP元富,0999P,認售權證
06254P,FQ元富,0999P,認售權證
06255P,FR元富,0999P,認售權證
06256P,FS元富,0999P,認售權證
062589,統一F1,0999,認購權證
062733,兆豐57,0999,認購權證
062743,國泰BX,0999,認購權證
062744,國泰BY,0999,認購權證
062919,康和BG,0999,認購權證
062966,兆豐91,0999,認購權證
062977,兆豐A3,0999,認購權證
062986,中信1N,0999,認購權證
062987,中信1P,0999,認購權證
063001,富邦M7,0999,認購權證
063035,中信1W,0999,認購權證
063036,中信1X,0999,認購權證
063053,統一J8,0999,認購權證
063138,中信1Z,0999,認購權證
063243,中信2D,0999,認購權證
063257,大華EA,0999,認購權證
063265,富邦CT,0999,認購權證
063267,富邦CV,0999,認購權證
063272,康和BQ,0999,認購權證
063300,國泰CQ,0999,認購權證
063306,大華EC,0999,認購權證
063307,大華ED,0999,認購權證
063308,大華EE,0999,認購權證
063310,富邦CY,0999,認購權證
063341,中信2J,0999,認購權證
063350,大華EG,0999,認購權證
063351,大華EH,0999,認購權證
063375,H2元大,0999,認購權證
063376,中信2L,0999,認購權證
063377,富邦DA,0999,認購權證
063396,大華EK,0999,認購權證
063397,大華EL,0999,認購權證
063407,中信2M,0999,認購權證
063410,NN群益,0999,認購權證
063417,CR永豐,0999,認購權證
063455,國泰CU,0999,認購權證
063489,J9元大,0999,認購權證
063494,富邦DK,0999,認購權證
063499,富邦DQ,0999,認購權證
063506,康和BX,0999,認購權證
063538,群益03,0999,認購權證
063557,中信2U,0999,認購權證
063558,中信2W,0999,認購權證
063559,中信2X,0999,認購權證
063570,K8元大,0999,認購權證
063572,富邦DU,0999,認購權證
063590,日盛4K,0999,認購權證
063731,中信3D,0999,認購權證
063732,中信3E,0999,認購權證
063754,國泰DB,0999,認購權證
063781,統一AF,0999,認購權證
063785,兆豐M3,0999,認購權證
063791,兆豐M9,0999,認購權證
063800,富邦EX,0999,認購權證
063845,中信3P,0999,認購權證
063855,群益41,0999,認購權證
063856,群益42,0999,認購權證
063897,凱基N1,0999,認購權證
063900,中信3Q,0999,認購權證
063901,中信3R,0999,認購權證
063925,群益51,0999,認購權證
063926,群益52,0999,認購權證
063927,群益53,0999,認購權證
063946,元富CW,0999,認購權證
063951,富邦FM,0999,認購權證
063953,中信3Y,0999,認購權證
063970,群益62,0999,認購權證
064042,元大24,0999,認購權證
064048,中信4B,0999,認購權證
064049,中信4C,0999,認購權證
064050,中信4D,0999,認購權證
064051,中信4E,0999,認購權證
064071,日盛6L,0999,認購權證
064085,凱基06,0999,認購權證
064107,中信4H,0999,認購權證
064110,中信4L,0999,認購權證
064115,富邦FX,0999,認購權證
064123,元大40,0999,認購權證
064131,群益76,0999,認購權證
064156,國泰DU,0999,認購權證
064171,統一BT,0999,認購權證
064177,富邦GB,0999,認購權證
064179,富邦GD,0999,認購權證
064180,富邦GE,0999,認購權證
064183,富邦GH,0999,認購權證
064188,中信4P,0999,認購權證
064204,國票DG,0999,認購權證
064208,元富DW,0999,認購權證
064212,凱基29,0999,認購權證
064221,大華GS,0999,認購權證
064222,國泰EA,0999,認購權證
064239,元大55,0999,認購權證
064240,元大56,0999,認購權證
064241,元大57,0999,認購權證
064242,元大58,0999,認購權證
064244,兆豐BK,0999,認購權證
064259,康和DD,0999,認購權證
064267,日盛7N,0999,認購權證
064271,群益90,0999,認購權證
064272,群益91,0999,認購權證
064295,凱基37,0999,認購權證
064302,富邦GM,0999,認購權證
064303,富邦GN,0999,認購權證
064311,凱基45,0999,認購權證
064312,凱基46,0999,認購權證
064316,GX永豐,0999,認購權證
064318,GZ永豐,0999,認購權證
064319,群益1M,0999,認購權證
064320,群益1N,0999,認購權證
064321,群益1P,0999,認購權證
064322,群益1Q,0999,認購權證
064323,群益1R,0999,認購權證
064330,元大64,0999,認購權證
064331,元大65,0999,認購權證
064337,亞東NU,0999,認購權證
064348,元大80,0999,認購權證
064350,元大82,0999,認購權證
064364,元富EB,0999,認購權證
064365,元富EC,0999,認購權證
064369,富邦GS,0999,認購權證
064372,富邦GV,0999,認購權證
064373,富邦GW,0999,認購權證
064381,元大91,0999,認購權證
064382,元大92,0999,認購權證
064398,群益1X,0999,認購權證
064399,群益1Z,0999,認購權證
064400,群益2A,0999,認購權證
064414,HR永豐,0999,認購權證
064420,大華GV,0999,認購權證
064428,元富EL,0999,認購權證
064433,中信5C,0999,認購權證
064435,富邦GZ,0999,認購權證
064441,元大A2,0999,認購權證
064445,元大A6,0999,認購權證
064446,元大A7,0999,認購權證
064472,元富EY,0999,認購權證
064479,富邦HF,0999,認購權證
064485,中信5E,0999,認購權證
064487,元大A9,0999,認購權證
064489,元大B2,0999,認購權證
064492,群益2C,0999,認購權證
064496,HZ永豐,0999,認購權證
064519,中信5G,0999,認購權證
064528,大華GW,0999,認購權證
064533,IC永豐,0999,認購權證
064535,統一DC,0999,認購權證
064574,中信5N,0999,認購權證
064596,凱基83,0999,認購權證
064607,元大C5,0999,認購權證
064642,元大D2,0999,認購權證
064645,富邦HS,0999,認購權證
064648,富邦HV,0999,認購權證
064650,國泰EJ,0999,認購權證
064657,元大D9,0999,認購權證
064671,亞東15,0999,認購權證
064678,亞東22,0999,認購權證
064686,富邦JB,0999,認購權證
064689,中信6B,0999,認購權證
064694,國泰EL,0999,認購權證
064722,凱基93,0999,認購權證
064737,中信6D,0999,認購權證
064738,元大F4,0999,認購權證
064745,兆豐CW,0999,認購權證
064752,兆豐DD,0999,認購權證
064755,群益3L,0999,認購權證
064766,國泰EM,0999,認購權證
064771,國票EE,0999,認購權證
064782,元富FW,0999,認購權證
064784,富邦JT,0999,認購權證
064786,元大G2,0999,認購權證
064792,國泰EP,0999,認購權證
064793,中信6F,0999,認購權證
064794,中信6G,0999,認購權證
064795,中信6H,0999,認購權證
064798,統一DW,0999,認購權證
064807,群益3V,0999,認購權證
064831,國泰ES,0999,認購權證
064846,兆豐DP,0999,認購權證
064851,元大I3,0999,認購權證
064852,元大I4,0999,認購權證
064884,群益4K,0999,認購權證
064885,群益4L,0999,認購權證
064896,國票EL,0999,認購權證
064898,元大J2,0999,認購權證
064903,國泰EV,0999,認購權證
064923,富邦KL,0999,認購權證
064945,群益4X,0999,認購權證
064948,JG永豐,0999,認購權證
064956,元富GJ,0999,認購權證
064979,元大K6,0999,認購權證
065007,富邦KQ,0999,認購權證
065008,富邦KR,0999,認購權證
065033,群益5G,0999,認購權證
065066,日盛A4,0999,認購權證
065067,元大L8,0999,認購權證
065068,元大L9,0999,認購權證
065069,元大M1,0999,認購權證
065070,元大M2,0999,認購權證
065071,中信6Z,0999,認購權證
065072,中信7A,0999,認購權證
065073,中信7B,0999,認購權證
065074,中信7C,0999,認購權證
065075,中信7D,0999,認購權證
065076,工銀MH,0999,認購權證
065077,工銀MJ,0999,認購權證
065078,JS永豐,0999,認購權證
065079,JT永豐,0999,認購權證
065080,亞東49,0999,認購權證
065081,元富GU,0999,認購權證
065082,元富GV,0999,認購權證
065083,元富GW,0999,認購權證
065084,大眾D6,0999,認購權證
065085,富邦KX,0999,認購權證
065086,富邦KY,0999,認購權證
065087,元大M4,0999,認購權證
065088,元大M5,0999,認購權證
065089,元大M6,0999,認購權證
065090,元大M7,0999,認購權證
065091,元大M8,0999,認購權證
065092,群益5P,0999,認購權證
065093,群益5Q,0999,認購權證
065094,群益5R,0999,認購權證
065095,群益5S,0999,認購權證
065096,群益5T,0999,認購權證
065097,JU永豐,0999,認購權證
065098,JV永豐,0999,認購權證
065099,JW永豐,0999,認購權證
065100,國票FE,0999,認購權證
065101,統一FE,0999,認購權證
065102,統一FF,0999,認購權證
065103,統一FG,0999,認購權證
065104,統一FH,0999,認購權證
065105,統一FJ,0999,認購權證
065106,元富GX,0999,認購權證
065107,元富GY,0999,認購權證
065108,日盛A7,0999,認購權證
065109,日盛A8,0999,認購權證
065110,日盛A9,0999,認購權證
065111,工銀ML,0999,認購權證
065112,中信7E,0999,認購權證
065113,凱基BA,0999,認購權證
065114,亞東50,0999,認購權證
065115,富邦KZ,0999,認購權證
065116,富邦LA,0999,認購權證
065117,富邦LB,0999,認購權證
065118,日盛B1,0999,認購權證
065119,日盛B2,0999,認購權證
065120,工銀MM,0999,認購權證
065121,工銀MN,0999,認購權證
065122,工銀MU,0999,認購權證
065123,元大M9,0999,認購權證
065124,元大N1,0999,認購權證
065125,元大N2,0999,認購權證
065126,凱基BB,0999,認購權證
065127,凱基BC,0999,認購權證
065128,國泰FB,0999,認購權證
065129,永昌CR,0999,認購權證
065130,永昌CS,0999,認購權證
065131,永昌CT,0999,認購權證
065132,永昌CU,0999,認購權證
065133,永昌CV,0999,認購權證
065134,永昌CW,0999,認購權證
065135,永昌CX,0999,認購權證
065136,永昌CY,0999,認購權證
065137,永昌CZ,0999,認購權證
065138,永昌DA,0999,認購權證
065139,JX永豐,0999,認購權證
065140,統一FK,0999,認購權證
065141,統一FL,0999,認購權證
065142,統一FM,0999,認購權證
065143,元富GZ,0999,認購權證
065144,元富HA,0999,認購權證
065145,元富HB,0999,認購權證
065146,兆豐EC,0999,認購權證
065147,兆豐ED,0999,認購權證
065148,兆豐EE,0999,認購權證
065149,兆豐EF,0999,認購權證
065150,兆豐EG,0999,認購權證
065151,兆豐EH,0999,認購權證
065152,兆豐EJ,0999,認購權證
065153,兆豐EK,0999,認購權證
065154,兆豐EL,0999,認購權證
065155,兆豐EM,0999,認購權證
065156,兆豐ES,0999,認購權證
065157,兆豐ET,0999,認購權證
065158,兆豐EU,0999,認購權證
065159,兆豐EV,0999,認購權證
065160,富邦LC,0999,認購權證
065161,富邦LD,0999,認購權證
065162,富邦LE,0999,認購權證
065163,富邦LF,0999,認購權證
065164,富邦LG,0999,認購權證
065165,元大N3,0999,認購權證
065166,元大N4,0999,認購權證
065167,康和EC,0999,認購權證
065168,康和ED,0999,認購權證
065169,統一FP,0999,認購權證
065170,凱基BD,0999,認購權證
065171,凱基BE,0999,認購權證
065172,工銀MW,0999,認購權證
065173,中信7H,0999,認購權證
065174,亞東51,0999,認購權證
065175,日盛B5,0999,認購權證
065176,富邦LK,0999,認購權證
065177,富邦LL,0999,認購權證
065178,富邦LM,0999,認購權證
065179,國票FF,0999,認購權證
065180,國票FG,0999,認購權證
065181,國泰FC,0999,認購權證
065182,元大X4,0999,認購權證
065183,元大X5,0999,認購權證
065184,元大X6,0999,認購權證
065185,元大X7,0999,認購權證
065186,元大X8,0999,認購權證
065187,群益5U,0999,認購權證
065188,群益5V,0999,認購權證
065189,群益5W,0999,認購權證
065190,群益5X,0999,認購權證
065191,群益5Y,0999,認購權證
065192,群益5Z,0999,認購權證
065193,群益6A,0999,認購權證
065194,JY永豐,0999,認購權證
065195,JZ永豐,0999,認購權證
065196,KB永豐,0999,認購權證
065197,統一FQ,0999,認購權證
065198,統一FR,0999,認購權證
065199,統一FS,0999,認購權證
065200,元富HE,0999,認購權證
065201,中信7M,0999,認購權證
065202,亞東52,0999,認購權證
065203,亞東53,0999,認購權證
065204,亞東54,0999,認購權證
065205,亞東55,0999,認購權證
065206,亞東56,0999,認購權證
065207,亞東57,0999,認購權證
065208,亞東58,0999,認購權證
065209,亞東59,0999,認購權證
065210,亞東60,0999,認購權證
065211,亞東61,0999,認購權證
065212,日盛B7,0999,認購權證
065213,日盛B8,0999,認購權證
065214,日盛B9,0999,認購權證
065215,兆豐EW,0999,認購權證
065216,兆豐EX,0999,認購權證
065217,兆豐EY,0999,認購權證
065218,兆豐EZ,0999,認購權證
065219,兆豐FA,0999,認購權證
065220,兆豐FB,0999,認購權證
065221,兆豐FC,0999,認購權證
065222,兆豐FD,0999,認購權證
065223,兆豐FE,0999,認購權證
065224,兆豐FF,0999,認購權證
065225,兆豐FG,0999,認購權證
065226,兆豐FH,0999,認購權證
065227,兆豐FJ,0999,認購權證
065228,兆豐FK,0999,認購權證
065229,兆豐FL,0999,認購權證
065230,兆豐FM,0999,認購權證
065231,兆豐FN,0999,認購權證
065232,兆豐FP,0999,認購權證
065233,富邦LP,0999,認購權證
065234,永昌DC,0999,認購權證
065235,永昌DD,0999,認購權證
065236,永昌DE,0999,認購權證
065237,永昌DF,0999,認購權證
065238,永昌DG,0999,認購權證
065239,永昌DH,0999,認購權證
065240,永昌DJ,0999,認購權證
065241,永昌DK,0999,認購權證
065242,KC永豐,0999,認購權證
065243,KD永豐,0999,認購權證
065244,KE永豐,0999,認購權證
065245,KF永豐,0999,認購權證
065246,日盛C2,0999,認購權證
065247,日盛C3,0999,認購權證
065248,日盛C4,0999,認購權證
065249,國泰FD,0999,認購權證
065250,國泰FE,0999,認購權證
065251,凱基BF,0999,認購權證
065252,凱基BH,0999,認購權證
065253,中信7N,0999,認購權證
065254,元大Y2,0999,認購權證
065255,元大Y3,0999,認購權證
065256,元大Y4,0999,認購權證
065257,元大Y5,0999,認購權證
065258,元大Y6,0999,認購權證
065259,亞東63,0999,認購權證
065260,亞東64,0999,認購權證
065261,統一FU,0999,認購權證
065262,元富HG,0999,認購權證
065263,元富HH,0999,認購權證
065264,元富HJ,0999,認購權證
065265,元富HK,0999,認購權證
065266,元富HL,0999,認購權證
065267,工銀MX,0999,認購權證
065268,工銀MZ,0999,認購權證
065269,兆豐FQ,0999,認購權證
065270,兆豐FR,0999,認購權證
065271,兆豐FS,0999,認購權證
065272,兆豐FT,0999,認購權證
065273,元大Z3,0999,認購權證
065274,元大Z4,0999,認購權證
065275,元大Z5,0999,認購權證
065276,元大Z6,0999,認購權證
065277,元大Z7,0999,認購權證
065278,元大Z8,0999,認購權證
065279,元大Z9,0999,認購權證
065280,AA元大,0999,認購權證
065281,AB元大,0999,認購權證
065282,AC元大,0999,認購權證
065283,AD元大,0999,認購權證
065284,AE元大,0999,認購權證
065285,AF元大,0999,認購權證
065286,AG元大,0999,認購權證
065287,KG永豐,0999,認購權證
065288,KH永豐,0999,認購權證
065289,KI永豐,0999,認購權證
065290,KK永豐,0999,認購權證
065291,KL永豐,0999,認購權證
065292,KN永豐,0999,認購權證
065293,日盛C5,0999,認購權證
065294,日盛C6,0999,認購權證
065295,日盛C7,0999,認購權證
065296,日盛C8,0999,認購權證
065297,日盛C9,0999,認購權證
065298,國泰FG,0999,認購權證
065299,凱基BM,0999,認購權證
065300,凱基BN,0999,認購權證
065301,凱基BP,0999,認購權證
065302,凱基BQ,0999,認購權證
065303,凱基BR,0999,認購權證
065304,凱基BS,0999,認購權證
065305,凱基BT,0999,認購權證
065306,康和EE,0999,認購權證
065307,康和EF,0999,認購權證
065308,康和EG,0999,認購權證
065309,康和EH,0999,認購權證
065310,統一FZ,0999,認購權證
065311,統一GA,0999,認購權證
065312,統一GB,0999,認購權證
065313,統一GC,0999,認購權證
065314,元富HM,0999,認購權證
065315,元富HN,0999,認購權證
065316,元富HQ,0999,認購權證
065317,富邦LR,0999,認購權證
065318,富邦LS,0999,認購權證
065319,日盛D2,0999,認購權證
065320,日盛D3,0999,認購權證
065321,國泰FH,0999,認購權證
065322,凱基BU,0999,認購權證
065323,凱基BV,0999,認購權證
065324,凱基BW,0999,認購權證
065325,凱基BX,0999,認購權證
065326,凱基BY,0999,認購權證
065327,凱基BZ,0999,認購權證
065328,中信7P,0999,認購權證
065329,凱基CB,0999,認購權證
065330,工銀NA,0999,認購權證
065331,亞東65,0999,認購權證
065332,群益6B,0999,認購權證
065333,群益6C,0999,認購權證
065334,群益6D,0999,認購權證
065335,群益6E,0999,認購權證
065336,群益6F,0999,認購權證
065337,群益6G,0999,認購權證
065338,群益6H,0999,認購權證
065339,群益6I,0999,認購權證
065340,群益6J,0999,認購權證
065341,KP永豐,0999,認購權證
065342,KQ永豐,0999,認購權證
065343,KR永豐,0999,認購權證
065344,KS永豐,0999,認購權證
065345,KT永豐,0999,認購權證
065346,KU永豐,0999,認購權證
065347,KV永豐,0999,認購權證
065348,KX永豐,0999,認購權證
065349,富邦LT,0999,認購權證
065350,富邦LU,0999,認購權證
065351,富邦LV,0999,認購權證
065352,富邦LW,0999,認購權證
065353,富邦LX,0999,認購權證
065354,富邦LY,0999,認購權證
065355,富邦LZ,0999,認購權證
065356,AH元大,0999,認購權證
065357,AI元大,0999,認購權證
065358,AJ元大,0999,認購權證
065359,AK元大,0999,認購權證
065360,AL元大,0999,認購權證
065361,AM元大,0999,認購權證
065362,統一GD,0999,認購權證
065363,統一GE,0999,認購權證
065364,統一GF,0999,認購權證
065365,統一GG,0999,認購權證
065366,統一GH,0999,認購權證
065367,統一GJ,0999,認購權證
065368,元富HR,0999,認購權證
065369,元富HS,0999,認購權證
065370,元富HT,0999,認購權證
065371,元富HU,0999,認購權證
065372,元富HV,0999,認購權證
065373,元富HW,0999,認購權證
065374,元富HX,0999,認購權證
065375,國泰FK,0999,認購權證
065376,國泰FL,0999,認購權證
065377,日盛D5,0999,認購權證
065378,日盛D6,0999,認購權證
065379,日盛D7,0999,認購權證
065380,日盛D8,0999,認購權證
065381,日盛D9,0999,認購權證
065382,凱基CA,0999,認購權證
065383,凱基CC,0999,認購權證
065384,凱基CD,0999,認購權證
065385,凱基CE,0999,認購權證
065386,凱基CF,0999,認購權證
065387,凱基CG,0999,認購權證
065388,凱基CH,0999,認購權證
065389,AR元大,0999,認購權證
065390,AS元大,0999,認購權證
065391,AT元大,0999,認購權證
065392,AU元大,0999,認購權證
065393,AV元大,0999,認購權證
065394,AW元大,0999,認購權證
065395,工銀NB,0999,認購權證
065396,工銀NC,0999,認購權證
065397,國票FJ,0999,認購權證
065398,國票FK,0999,認購權證
065399,國票FL,0999,認購權證
065400,康和EI,0999,認購權證
065401,康和EJ,0999,認購權證
065402,康和EK,0999,認購權證
065403,康和EL,0999,認購權證
065404,康和EM,0999,認購權證
065405,康和EN,0999,認購權證
065406,統一GK,0999,認購權證
065407,統一GL,0999,認購權證
065408,統一GM,0999,認購權證
065409,統一GN,0999,認購權證
065410,統一GP,0999,認購權證
065411,統一GQ,0999,認購權證
065412,統一GR,0999,認購權證
065413,統一GS,0999,認購權證
065414,元富JA,0999,認購權證
065415,元富JB,0999,認購權證
065416,元富JC,0999,認購權證
065417,元富JD,0999,認購權證
065418,元富JE,0999,認購權證
065419,元富JF,0999,認購權證
065420,元富JG,0999,認購權證
065421,元富JH,0999,認購權證
065422,KY永豐,0999,認購權證
065423,KZ永豐,0999,認購權證
065424,LA永豐,0999,認購權證
065425,LB永豐,0999,認購權證
065426,LC永豐,0999,認購權證
065427,LD永豐,0999,認購權證
065428,LF永豐,0999,認購權證
065429,富邦MB,0999,認購權證
065430,富邦MC,0999,認購權證
065431,富邦MD,0999,認購權證
065432,富邦ME,0999,認購權證
065433,富邦MF,0999,認購權證
065434,富邦MG,0999,認購權證
065435,富邦MH,0999,認購權證
065436,富邦MJ,0999,認購權證
065437,富邦MK,0999,認購權證
065438,富邦ML,0999,認購權證
065439,富邦MM,0999,認購權證
065440,凱基CJ,0999,認購權證
065441,凱基CK,0999,認購權證
065442,日盛E1,0999,認購權證
065443,日盛E2,0999,認購權證
065444,日盛E3,0999,認購權證
065445,日盛E4,0999,認購權證
065446,日盛E5,0999,認購權證
065447,日盛E6,0999,認購權證
065448,日盛E7,0999,認購權證
065449,日盛E8,0999,認購權證
065450,日盛E9,0999,認購權證
065451,日盛F1,0999,認購權證
065452,日盛F2,0999,認購權證
065453,群益6K,0999,認購權證
065454,群益6L,0999,認購權證
065455,群益6M,0999,認購權證
065456,群益6N,0999,認購權證
065457,群益6P,0999,認購權證
065458,LG永豐,0999,認購權證
065459,LH永豐,0999,認購權證
065460,LI永豐,0999,認購權證
065461,LJ永豐,0999,認購權證
065462,LK永豐,0999,認購權證
065463,LL永豐,0999,認購權證
065464,LM永豐,0999,認購權證
065465,LN永豐,0999,認購權證
065466,LP永豐,0999,認購權證
065467,LQ永豐,0999,認購權證
065468,BB元大,0999,認購權證
065469,BC元大,0999,認購權證
065470,BD元大,0999,認購權證
065471,BE元大,0999,認購權證
065472,中信7Q,0999,認購權證
065473,中信7R,0999,認購權證
065474,中信7S,0999,認購權證
065475,中信7T,0999,認購權證
065476,中信7U,0999,認購權證
065477,中信7V,0999,認購權證
065478,中信7W,0999,認購權證
065479,中信7X,0999,認購權證
065480,統一GT,0999,認購權證
065481,統一GU,0999,認購權證
065482,統一GV,0999,認購權證
065483,統一GW,0999,認購權證
065484,元富JL,0999,認購權證
065485,元富JM,0999,認購權證
065486,元富JN,0999,認購權證
065487,元富JP,0999,認購權證
065488,兆豐FX,0999,認購權證
065489,兆豐FY,0999,認購權證
065490,兆豐FZ,0999,認購權證
065491,兆豐GC,0999,認購權證
065492,兆豐GD,0999,認購權證
065493,兆豐GE,0999,認購權證
065494,兆豐GF,0999,認購權證
065495,兆豐GG,0999,認購權證
065496,兆豐GH,0999,認購權證
065497,兆豐GJ,0999,認購權證
065498,兆豐GK,0999,認購權證
065499,兆豐GL,0999,認購權證
065500,兆豐GM,0999,認購權證
065501,兆豐GN,0999,認購權證
065502,兆豐GP,0999,認購權證
065503,兆豐GQ,0999,認購權證
065504,兆豐GR,0999,認購權證
065505,兆豐GS,0999,認購權證
065506,兆豐GT,0999,認購權證
065507,兆豐GU,0999,認購權證
065508,兆豐GV,0999,認購權證
065509,兆豐GW,0999,認購權證
065510,凱基CM,0999,認購權證
065511,凱基CP,0999,認購權證
065512,凱基CQ,0999,認購權證
065513,凱基CR,0999,認購權證
065514,凱基CS,0999,認購權證
065515,凱基CT,0999,認購權證
065516,凱基CU,0999,認購權證
065517,凱基CV,0999,認購權證
065518,凱基CW,0999,認購權證
065519,凱基CX,0999,認購權證
065520,凱基CY,0999,認購權證
065521,凱基CZ,0999,認購權證
065522,凱基DA,0999,認購權證
065523,凱基DB,0999,認購權證
065524,國泰FM,0999,認購權證
065525,國泰FN,0999,認購權證
065526,國泰FP,0999,認購權證
065527,國泰FQ,0999,認購權證
065528,國泰FR,0999,認購權證
065529,國泰FS,0999,認購權證
065530,國泰FT,0999,認購權證
065531,國泰FV,0999,認購權證
065532,國泰FW,0999,認購權證
065533,中信7Z,0999,認購權證
065534,中信8A,0999,認購權證
065535,中信8B,0999,認購權證
065536,中信8C,0999,認購權證
065537,中信8D,0999,認購權證
065538,中信8E,0999,認購權證
065539,中信8F,0999,認購權證
065540,中信8G,0999,認購權證
065541,工銀ND,0999,認購權證
065542,工銀NE,0999,認購權證
065543,工銀NF,0999,認購權證
065544,工銀NG,0999,認購權證
065545,工銀NH,0999,認購權證
065546,工銀NJ,0999,認購權證
065547,工銀NK,0999,認購權證
065548,日盛F5,0999,認購權證
065549,日盛F6,0999,認購權證
065550,日盛F7,0999,認購權證
065551,日盛F8,0999,認購權證
065552,日盛F9,0999,認購權證
065553,日盛G1,0999,認購權證
065554,日盛G2,0999,認購權證
065555,日盛G3,0999,認購權證
065556,日盛G5,0999,認購權證
065557,日盛G6,0999,認購權證
065558,日盛G7,0999,認購權證
065559,日盛G8,0999,認購權證
065560,日盛G9,0999,認購權證
065561,日盛H1,0999,認購權證
065562,兆豐GX,0999,認購權證
065563,兆豐GY,0999,認購權證
065564,兆豐GZ,0999,認購權證
065565,兆豐HA,0999,認購權證
065566,兆豐HB,0999,認購權證
065567,兆豐HC,0999,認購權證
065568,兆豐HD,0999,認購權證
065569,兆豐HE,0999,認購權證
065570,兆豐HF,0999,認購權證
065571,兆豐HG,0999,認購權證
065572,兆豐HH,0999,認購權證
065573,兆豐HJ,0999,認購權證
065574,LR永豐,0999,認購權證
065575,LS永豐,0999,認購權證
065576,LT永豐,0999,認購權證
065577,LU永豐,0999,認購權證
065578,LV永豐,0999,認購權證
065579,LW永豐,0999,認購權證
065580,LX永豐,0999,認購權證
065581,LY永豐,0999,認購權證
065582,LZ永豐,0999,認購權證
065583,MA永豐,0999,認購權證
065584,MB永豐,0999,認購權證
065585,MC永豐,0999,認購權證
065586,MD永豐,0999,認購權證
065587,ME永豐,0999,認購權證
065588,MG永豐,0999,認購權證
065589,MH永豐,0999,認購權證
065590,MI永豐,0999,認購權證
065591,MJ永豐,0999,認購權證
065592,MK永豐,0999,認購權證
065593,ML永豐,0999,認購權證
065594,群益6R,0999,認購權證
065595,群益6S,0999,認購權證
065596,群益6T,0999,認購權證
065597,群益6U,0999,認購權證
065598,群益6V,0999,認購權證
065599,群益6W,0999,認購權證
065600,群益6X,0999,認購權證
065601,群益6Y,0999,認購權證
065602,群益6Z,0999,認購權證
065603,群益7A,0999,認購權證
065604,群益7B,0999,認購權證
065605,群益7C,0999,認購權證
065606,群益7D,0999,認購權證
065607,群益7E,0999,認購權證
065608,BI元大,0999,認購權證
065609,BJ元大,0999,認購權證
065610,BK元大,0999,認購權證
065611,BL元大,0999,認購權證
065612,BM元大,0999,認購權證
065613,BN元大,0999,認購權證
065614,BP元大,0999,認購權證
065615,BQ元大,0999,認購權證
065616,BR元大,0999,認購權證
065617,BS元大,0999,認購權證
065618,BT元大,0999,認購權證
065619,BU元大,0999,認購權證
065620,BV元大,0999,認購權證
065621,BW元大,0999,認購權證
065622,BX元大,0999,認購權證
065623,BY元大,0999,認購權證
065624,BZ元大,0999,認購權證
065625,CA元大,0999,認購權證
065626,CB元大,0999,認購權證
065627,CC元大,0999,認購權證
065628,CD元大,0999,認購權證
065629,CE元大,0999,認購權證
065630,CF元大,0999,認購權證
065631,CG元大,0999,認購權證
065632,CH元大,0999,認購權證
065633,CI元大,0999,認購權證
